nationality,split,surname
Arabic,train,bishara
Arabic,train,nahas
Arabic,train,ghanem
Arabic,train,tannous
Arabic,train,mikhail
Arabic,train,sarraf
Arabic,train,attia
Arabic,train,srour
Arabic,train,hanania
Arabic,train,saliba
Arabic,train,mansour
Arabic,train,shamoun
Arabic,train,nazari
Arabic,train,hadad
Arabic,train,ganem
Arabic,train,arian
Arabic,train,asker
Arabic,train,mikhail
Arabic,train,mansour
Arabic,train,atiyeh
Arabic,train,boutros
Arabic,train,morcos
Arabic,train,khoury
Arabic,train,sabbag
Arabic,train,gerges
Arabic,train,hajjar
Arabic,train,attia
Arabic,train,botros
Arabic,train,nader
Arabic,train,awad
Arabic,train,isa
Arabic,train,isa
Arabic,train,naifeh
Arabic,train,daher
Arabic,train,atiyeh
Arabic,train,said
Arabic,train,hakimi
Arabic,train,naifeh
Arabic,train,shamon
Arabic,train,awad
Arabic,train,antoun
Arabic,train,rahal
Arabic,train,attia
Arabic,train,issa
Arabic,train,sarraf
Arabic,train,handal
Arabic,train,kassis
Arabic,train,khouri
Arabic,train,kassis
Arabic,train,antar
Arabic,train,nassar
Arabic,train,sabbag
Arabic,train,awad
Arabic,train,cham
Arabic,train,safar
Arabic,train,nahas
Arabic,train,basara
Arabic,train,ganim
Arabic,train,khoury
Arabic,train,totah
Arabic,train,rahal
Arabic,train,koury
Arabic,train,abadi
Arabic,train,baz
Arabic,train,tuma
Arabic,train,masih
Arabic,train,kassis
Arabic,train,maalouf
Arabic,train,ganem
Arabic,train,atiyeh
Arabic,train,antoun
Arabic,train,bishara
Arabic,train,kalb
Arabic,train,cham
Arabic,train,shammas
Arabic,train,almasi
Arabic,train,dagher
Arabic,train,mifsud
Arabic,train,isa
Arabic,train,bitar
Arabic,train,sabbag
Arabic,train,nahas
Arabic,train,dagher
Arabic,train,amari
Arabic,train,khouri
Arabic,train,safar
Arabic,train,bishara
Arabic,train,gaber
Arabic,train,attia
Arabic,train,antar
Arabic,train,ghanem
Arabic,train,wasem
Arabic,train,hanania
Arabic,train,sabbag
Arabic,train,rahal
Arabic,train,baz
Arabic,train,awad
Arabic,train,seif
Arabic,train,morcos
Arabic,train,fakhoury
Arabic,train,sayegh
Arabic,train,nahas
Arabic,train,abboud
Arabic,train,antoun
Arabic,train,almasi
Arabic,train,masih
Arabic,train,najjar
Arabic,train,sabbagh
Arabic,train,shamon
Arabic,train,mansour
Arabic,train,bishara
Arabic,train,shamoun
Arabic,train,qureshi
Arabic,train,bahar
Arabic,train,sleiman
Arabic,train,shamoun
Arabic,train,hadad
Arabic,train,mifsud
Arabic,train,boulos
Arabic,train,salib
Arabic,train,kouri
Arabic,train,toma
Arabic,train,shadid
Arabic,train,nazari
Arabic,train,abadi
Arabic,train,rahal
Arabic,train,najjar
Arabic,train,totah
Arabic,train,hakimi
Arabic,train,handal
Arabic,train,cham
Arabic,train,essa
Arabic,train,koury
Arabic,train,shammas
Arabic,train,guirguis
Arabic,train,toma
Arabic,train,rahal
Arabic,train,isa
Arabic,train,najjar
Arabic,train,abboud
Arabic,train,gaber
Arabic,train,nader
Arabic,train,tannous
Arabic,train,attia
Arabic,train,rahal
Arabic,train,bazzi
Arabic,train,essa
Arabic,train,toma
Arabic,train,seif
Arabic,train,haddad
Arabic,train,nazari
Arabic,train,hadad
Arabic,train,naifeh
Arabic,train,wasem
Arabic,train,antar
Arabic,train,sayegh
Arabic,train,nahas
Arabic,train,toma
Arabic,train,asghar
Arabic,train,nazari
Arabic,train,sarraf
Arabic,train,seif
Arabic,train,baba
Arabic,train,kassis
Arabic,train,awad
Arabic,train,sayegh
Arabic,train,wasem
Arabic,train,shammas
Arabic,train,koury
Arabic,train,boutros
Arabic,train,daher
Arabic,train,tahan
Arabic,train,gaber
Arabic,train,hadad
Arabic,train,fakhoury
Arabic,train,aswad
Arabic,train,qureshi
Arabic,train,saliba
Arabic,train,mifsud
Arabic,train,mansour
Arabic,train,bazzi
Arabic,train,malouf
Arabic,train,awad
Arabic,train,kanaan
Arabic,train,salib
Arabic,train,kanaan
Arabic,train,sarkis
Arabic,train,sleiman
Arabic,train,kassis
Arabic,train,boutros
Arabic,train,amari
Arabic,train,kanaan
Arabic,train,mifsud
Arabic,train,koury
Arabic,train,zogby
Arabic,train,totah
Arabic,train,maroun
Arabic,train,tuma
Arabic,train,saliba
Arabic,train,botros
Arabic,train,almasi
Arabic,train,ghannam
Arabic,train,issa
Arabic,train,ganim
Arabic,train,gaber
Arabic,train,botros
Arabic,train,ganim
Arabic,train,quraishi
Arabic,train,mikhail
Arabic,train,haddad
Arabic,train,shamon
Arabic,train,salib
Arabic,train,mustafa
Arabic,train,samaha
Arabic,train,boulos
Arabic,train,morcos
Arabic,train,mustafa
Arabic,train,attia
Arabic,train,awad
Arabic,train,khouri
Arabic,train,nader
Arabic,train,gerges
Arabic,train,sarraf
Arabic,train,zogby
Arabic,train,quraishi
Arabic,train,deeb
Arabic,train,fakhoury
Arabic,train,zogby
Arabic,train,shadid
Arabic,train,shamon
Arabic,train,boulos
Arabic,train,mifsud
Arabic,train,abboud
Arabic,train,antar
Arabic,train,isa
Arabic,train,gaber
Arabic,train,ba
Arabic,train,baba
Arabic,train,botros
Arabic,train,shadid
Arabic,train,sarraf
